Designator,Mid X,Mid Y,Rotation,Layer
C1,97.6656,-60.706,0,top
C10,110.9472,-55.8546,180,top
C11,111.0032,-59.1742,180,top
C12,117.678907,-61.636307,270,top
C13,122.758907,-57.648507,0,top
C14,119.8398,-50.1344,90,top
C15,116.8934,-50.1598,90,top
C16,113.7412,-50.1538,90,top
C17,69.85,-87.63,90,top
C18,124.4372,-73.0504,180,top
C19,124.4372,-76.835,180,top
C2,125.9197,-53.5198,0,top
C20,75.41,-83.312,0,top
C21,79.248,-85.344,90,top
C22,81.026,-85.88,90,top
C23,82.55,-85.852,90,top
C24,90.424,-79.248,180,top
C25,90.424,-77.47,180,top
C26,82.55,-82.55,90,top
C27,154.305,-63.472,270,top
C28,154.305,-68.199,90,top
C29,160.909,-70.866,0,top
C3,125.9197,-58.9828,180,top
C30,152.781,-63.868,270,top
C31,152.781,-67.691,90,top
C32,161.925,-72.39,0,top
C33,154.559,-71.374,0,top
C34,154.546,-72.898,180,top
C35,156.718,-61.3426,180,top
C36,160.274,-74.168,0,top
C37,156.718,-59.8186,180,top
C38,158.27,-74.168,180,top
C39,69.977,-43.815,180,top
C4,111.4044,-53.5432,90,top
C40,83.919,-43.815,180,top
C41,117.615,-78.302,0,top
C42,151.483,-45.339,0,top
C43,98.778,-68.453,0,top
C44,100.0122,-43.3832,180,top
C5,110.3884,-53.5406,90,top
C6,112.7252,-50.1538,90,top
C7,115.2652,-61.633,270,top
C8,115.8748,-50.1624,90,top
C9,122.7457,-55.3618,0,top
D1,86.0552,-60.2488,180,top
DS1,130.5,-55.5,0,top
FID1,62,-36,0,top
FID2,163,-31,0,top
FID3,168,-91,0,top
J1,135.2296,-75.5904,90,top
J2,135.2296,-80.6704,90,top
J3,65,-83.82,270,top
J4,69.5,-67.0458,0,top
J5,163.83,-84.582,180,top
J6,114.92,-80.715,270,top
J7,124.445,-80.715,270,top
J8,149.3032,-38,180,top
L1,108.4072,-52.8379,90,top
R1,106.7816,-59.4004,270,top
R10,158.75,-72.646,270,top
R11,159.766,-72.646,270,top
R12,159.258,-76.454,180,top
R13,64.2366,-51.7022,90,top
R14,66.7766,-51.7022,90,top
R15,71.8566,-51.7022,90,top
R16,74.3966,-51.7022,90,top
R17,74.3966,-42.8122,270,top
R18,71.8566,-42.8122,270,top
R19,66.7766,-42.8122,270,top
R2,122.7374,-56.5326,0,top
R20,64.2366,-42.8122,270,top
R21,78.2066,-51.7022,90,top
R22,80.7466,-51.7022,90,top
R23,85.8266,-51.7022,90,top
R24,88.3666,-51.7022,90,top
R25,88.3666,-42.8122,270,top
R26,85.8266,-42.8122,270,top
R27,80.7466,-42.8122,270,top
R28,78.2066,-42.8122,270,top
R29,147.574,-45.339,0,top
R3,108.5088,-59.3852,270,top
R30,134.1374,-43.2562,90,top
R34,102.616,-68.326,180,top
R4,103.378,-53.086,0,top
R5,103.378,-52.07,0,top
R6,71.374,-87.63,90,top
R7,70.36,-85.598,0,top
R8,70.36,-81.026,0,top
R9,82.4484,-60.2488,180,top
RV1,101.2174,-34.417,180,top
SW1,143.485,-86.99,180,top
SW2,133.8072,-86.99,180,top
U1,116.2753,-55.6246,90,top
U10,83.2866,-47.1322,270,top
U11,69,-47,0,top
U12,83,-47,0,top
U13,104.14,-80.645,270,top
U14,117.206,-75,180,top
U15,100.7618,-64.836,180,top
U2,100.6592,-57.1398,90,top
U3,128.1938,-73.0504,90,top
U4,128.1938,-76.8604,90,top
U5,72.009,-83.312,270,top
U6,87.757,-83.82,180,top
U7,84.7344,-67.63,180,top
U8,158.5722,-66.233,0,top
U9,69.3166,-47.1322,270,top
Y1,125.885,-56.2278,90,top
