Designator,Mid X,Mid Y,Rotation,Layer
C1,97.6656,-60.706,0,top
C10,110.9472,-55.8546,180,top
C11,111.0032,-59.1742,180,top
C12,117.678907,-61.636307,270,top
C13,122.758907,-57.648507,0,top
C14,119.8398,-50.1344,90,top
C15,116.8934,-50.1598,90,top
C16,113.7412,-50.1538,90,top
C17,90.8359,-50.8,90,top
C18,88.58,-71.5746,270,top
C19,84.9376,-71.5791,270,top
C2,125.9197,-53.5198,0,top
C20,96.3959,-46.482,0,top
C21,146.939,-51.816,270,top
C22,145.161,-51.28,270,top
C23,143.637,-51.308,270,top
C24,135.763,-57.912,0,top
C25,135.763,-59.69,0,top
C26,143.637,-54.61,270,top
C27,154.305,-63.472,270,top
C28,154.305,-68.199,90,top
C29,160.909,-70.866,0,top
C3,125.9197,-58.9828,180,top
C30,152.781,-63.868,270,top
C31,152.781,-67.691,90,top
C32,161.925,-72.39,0,top
C33,154.559,-71.374,0,top
C34,154.546,-72.898,180,top
C35,156.718,-61.3426,180,top
C36,160.274,-74.168,0,top
C37,156.718,-59.8186,180,top
C38,158.27,-74.168,180,top
C39,116.8654,-80.455358,180,top
C4,111.4044,-53.5432,90,top
C40,130.8074,-80.455358,180,top
C41,159.201,-52.3745,90,top
C42,151.483,-45.339,0,top
C43,98.778,-68.453,0,top
C44,100.0122,-43.3832,180,top
C5,110.3884,-53.5406,90,top
C6,112.7252,-50.1538,90,top
C7,115.2652,-61.633,270,top
C8,115.8748,-50.1624,90,top
C9,122.7457,-55.3618,0,top
D1,106.6038,-76.007,180,top
DS1,130.5,-55.5,0,top
FID1,82.455,-36,0,top
FID2,163,-31,0,top
FID3,168,-91,0,top
J1,89.027,-55.372,0,top
J2,83.947,-55.372,0,top
J3,86,-46.99,270,top
J4,90.5,-82.804,0,top
J5,163.83,-84.582,180,top
J6,161.614,-55.0695,0,top
J7,161.614,-45.5445,0,top
J8,149.3032,-38,180,top
L1,108.4072,-52.8379,90,top
R1,106.7816,-59.4004,270,top
R10,158.75,-72.646,270,top
R11,159.766,-72.646,270,top
R12,159.258,-76.454,180,top
R13,111.125,-88.342558,90,top
R14,113.665,-88.342558,90,top
R15,118.745,-88.342558,90,top
R16,121.285,-88.342558,90,top
R17,121.285,-79.452558,270,top
R18,118.745,-79.452558,270,top
R19,113.665,-79.452558,270,top
R2,122.7374,-56.5326,0,top
R20,111.125,-79.452558,270,top
R21,125.095,-88.342558,90,top
R22,127.635,-88.342558,90,top
R23,132.715,-88.342558,90,top
R24,135.255,-88.342558,90,top
R25,135.255,-79.452558,270,top
R26,132.715,-79.452558,270,top
R27,127.635,-79.452558,270,top
R28,125.095,-79.452558,270,top
R29,147.574,-45.339,0,top
R3,108.5088,-59.3852,270,top
R30,134.1374,-43.2562,90,top
R34,102.616,-68.326,180,top
R4,103.378,-53.086,0,top
R5,103.378,-52.07,0,top
R6,92.3599,-50.8,90,top
R7,91.3459,-48.768,0,top
R8,91.3459,-44.196,0,top
R9,102.997,-76.007,180,top
RV1,101.2174,-34.417,0,top
SW1,142.24,-86.99,180,top
SW2,142.1384,-78.74,180,top
U1,116.2753,-55.6246,90,top
U10,130.175,-83.772558,270,top
U11,116.2,-83.6,0,top
U12,130.2,-83.6,0,top
U14,155.899,-52.7835,270,top
U15,100.7618,-64.836,180,top
U2,100.6592,-57.1398,90,top
U3,88.58,-67.818,180,top
U4,84.963,-67.8225,180,top
U5,92.9949,-46.482,270,top
U6,138.43,-53.34,0,top
U7,105.283,-83.3882,180,top
U8,158.5722,-66.233,0,top
U9,116.205,-83.772558,270,top
Y1,125.885,-56.2278,90,top
